OBJECTID,STATE,LAT,LONG
342,NAGALAND,95.0283966,26.7243996
343,MIZORAM,92.7249985,23.7493
344,MIZORAM,92.7435989,22.8889999
345,ARUNACHAL PRADESH,96.1632996,27.9258003
346,MAHARASHTRA,72.9705963,19.2066994
347,MAHARASHTRA,72.8293991,18.9878998
348,MAHARASHTRA,72.8753967,18.6473999
349,MAHARASHTRA,73.8618011,18.5268002
350,MAHARASHTRA,73.2968979,16.9916
351,MAHARASHTRA,73.7142029,16.1089993
352,MAHARASHTRA,74.7460022,19.0942001
353,MAHARASHTRA,74.0100021,17.6912994
354,MAHARASHTRA,74.5779037,16.8617001
355,MAHARASHTRA,74.2232971,16.6954002
356,MAHARASHTRA,75.3324966,19.8862991
357,MAHARASHTRA,75.9005966,19.8495998
358,MAHARASHTRA,75.7628021,18.9885998
359,MAHARASHTRA,75.9068985,17.6730003
360,KARNATAKA,75.7182007,16.8246994
361,GOA,73.8216019,15.4811001
362,KARNATAKA,74.5085983,15.8599997
363,KARNATAKA,74.1304016,14.8052998
364,KARNATAKA,74.8404007,12.8650999
365,KERALA,74.9893036,12.4996004
366,KARNATAKA,75.0112,15.4534998
367,KARNATAKA,75.5751038,13.9321003
368,KARNATAKA,75.7717972,13.3196001
369,KARNATAKA,75.743103,12.4237003
370,LAKSHADWEEP,72.6397018,10.5699997
371,KERALA,75.3655014,11.8699999
372,KERALA,75.7942963,11.2412004
373,MAHARASHTRA,76.7759018,19.2691994
374,MAHARASHTRA,76.5758972,18.4020004
375,MAHARASHTRA,76.0407028,18.1825008
376,KARNATAKA,76.8337021,17.3358994
377,MAHARASHTRA,77.3119965,19.1601009
378,KARNATAKA,77.5306015,17.9167995
379,TELANGANA,77.9904022,16.7453995
380,KARNATAKA,77.3575974,16.2087994
381,TELANGANA,78.5540009,19.6639996
382,TELANGANA,78.092598,18.6550999
383,TELANGANA,78.0811005,17.6266994
384,TELANGANA,78.4869003,17.4006004
385,MAHARASHTRA,79.2944031,19.9524002
386,TELANGANA,79.1434021,18.4328003
387,TELANGANA,79.5739975,18.0312004
388,TELANGANA,79.266098,17.0622997
389,KARNATAKA,76.9225006,15.1443996
390,KARNATAKA,76.4018021,14.2284002
391,KARNATAKA,76.0970993,13.0101004
392,KARNATAKA,76.8975983,12.5186005
393,KARNATAKA,76.6535034,12.3107004
394,ANDHRA PRADESH,77.5970993,14.6805
395,KARNATAKA,77.0953979,13.3549004
396,KARNATAKA,77.5950012,12.9783001
397,ANDHRA PRADESH,78.0402985,15.8360004
398,ANDHRA PRADESH,78.8239975,14.4834995
399,KARNATAKA,78.1350021,13.1370001
400,TAMILNADU,78.1600037,12.1360998
401,ANDHRA PRADESH,79.9822006,14.4504004
402,ANDHRA PRADESH,79.0987015,13.2166004
403,TAMILNADU,79.1379013,12.9109001
404,TAMILNADU,79.7143021,12.8360996
405,KERALA,76.0873032,11.6073999
406,TAMILNADU,76.7048035,11.4168997
407,KERALA,76.0847015,11.0451002
408,TAMILNADU,76.9657974,10.9961004
409,KERALA,76.6573029,10.7735004
410,KERALA,76.217598,10.5241003
411,KERALA,76.2913971,9.9582005
412,KERALA,76.520401,9.5970602
413,KERALA,76.328598,9.5031004
414,KERALA,77.1752014,9.9019604
415,KERALA,76.9167023,8.4917202
416,KERALA,76.6080017,8.8899002
417,TAMILNADU,77.7265015,11.3357
418,TAMILNADU,77.9514999,9.5954704
419,TAMILNADU,77.6912994,8.7315798
420,TAMILNADU,77.4397964,8.1774101
421,TAMILNADU,78.1517029,11.6595001
422,TAMILNADU,78.6797028,10.8235998
423,TAMILNADU,78.8108978,10.3853998
424,TAMILNADU,78.1280975,9.9263802
425,TAMILNADU,78.8396988,9.3649998
426,PUDUCHERRY,79.8309021,11.9366999
427,TAMILNADU,79.7609024,11.7568998
428,PUDUCHERRY,79.8361969,10.9193001
429,TAMILNADU,79.1371002,10.7865
430,TELANGANA,80.1390991,17.2462997
431,ANDHRA PRADESH,80.4459,16.2984009
432,ANDHRA PRADESH,81.1345978,16.1902008
433,ANDHRA PRADESH,81.0991974,16.7208004
434,CHHATTISGARH,82.0374985,19.0876007
435,ODISHA,82.7181015,18.8078003
436,ANDHRA PRADESH,82.2347031,16.9703999
437,PUDUCHERRY,82.2121964,16.7357998
438,ODISHA,83.1745987,19.9111996
439,ANDHRA PRADESH,83.8899002,18.2978001
440,ANDHRA PRADESH,83.4049988,18.1254997
441,ANDHRA PRADESH,83.3040009,17.7252007
442,ANDHRA PRADESH,80.0473022,15.5155001
443,TAMILNADU,80.2661972,13.0760002
444,ANDAMAN & NICOBAR,92.7382965,11.6619997
445,UTTAR PRADESH,80.7867966,27.9479008
446,UTTAR PRADESH,82.5383987,26.4137001
447,UTTAR PRADESH,83.0849991,26.7784004
448,UTTAR PRADESH,81.3816986,25.5249004
449,UTTAR PRADESH,80.9124985,25.2110996
450,UTTAR PRADESH,83.9831009,26.9074001
451,BIHAR,83.6007004,25.0407009
452,UTTAR PRADESH,83.2689972,25.2588997
453,JHARKHAND,83.8103027,24.1739998
454,UTTAR PRADESH,82.461998,25.3360996
455,JHARKHAND,84.8641968,24.2091999
456,GUJARAT,69.5948029,21.6334991
457,GUJARAT,73.4990997,21.8764
458,MAHARASHTRA,74.2438965,21.3673992
459,MADHYA PRADESH,74.8904037,22.0298996
460,GUJARAT,73.6088028,22.7733994
461,GUJARAT,74.2630997,22.8234997
462,GUJARAT,72.9531021,22.5674
463,GUJARAT,72.9245987,20.9493999
464,MAHARASHTRA,77.1409988,20.1096992
465,MAHARASHTRA,80.1957016,21.4493999
466,MADHYA PRADESH,77.0842972,22.3372993
467,MADHYA PRADESH,80.8361969,23.5261993
468,CHHATTISGARH,82.5687027,23.2453995
469,CHHATTISGARH,81.2578964,22.0069008
470,CHHATTISGARH,82.5927963,22.0044003
471,JHARKHAND,84.5005035,22.6158009
472,CHHATTISGARH,84.1564026,22.8929005
473,CHHATTISGARH,82.1093979,21.0946007
474,ODISHA,82.5540009,20.8199997
475,MADHYA PRADESH,81.0819016,22.9402008
476,CHHATTISGARH,82.7137985,22.3377991
477,UTTAR PRADESH,78.0578995,27.5853996
478,ODISHA,83.6289978,21.3398991
479,CHHATTISGARH,81.5042038,20.2758999
480,CHHATTISGARH,81.5659027,20.7045002
481,ODISHA,82.5559998,19.2255993
482,CHHATTISGARH,81.3656006,18.8780003
483,BIHAR,83.9785995,25.5715008
484,BIHAR,85.2941971,26.5146999
485,JHARKHAND,85.5848007,24.4634991
486,BIHAR,86.2141037,24.9263992
487,JHARKHAND,85.9373016,22.7155991
488,BIHAR,87.9257965,26.1133003
489,WEST BENGAL,88.1233978,25.6095009
490,BIHAR,87.461998,26.1382008
491,UTTAR PRADESH,77.3263016,28.5671005
492,BIHAR,86.9172974,24.8810997
493,JHARKHAND,87.8321991,24.6362991
494,BIHAR,86.088501,25.1767998
495,BIHAR,85.8371964,25.1478996
496,WEST BENGAL,87.9173965,22.3017006
497,WEST BENGAL,88.5049973,22.7254009
498,JHARKHAND,85.8065033,22.5552006
499,ODISHA,85.0968018,20.1210003
500,ODISHA,83.9209976,20.8330994
501,ODISHA,84.305603,20.8269997
502,ODISHA,84.7419968,21.5468998
503,ODISHA,86.322998,20.8453999
504,ODISHA,86.5011978,21.0692005
505,ODISHA,86.1638031,20.2646008
506,ODISHA,86.4150009,20.5091991
507,ODISHA,85.0970993,20.8372002
508,ODISHA,81.8957977,18.3588009
509,ODISHA,83.410202,19.1660995
510,ODISHA,84.0783997,18.7775002
511,ODISHA,84.0240021,21.8526001
512,JHARKHAND,86.7860031,23.9603004
513,BIHAR,85.2171021,25.677
514,BIHAR,85.7769012,25.8469009
515,JHARKHAND,84.5073013,23.7521
516,KARNATAKA,75.7068024,16.2040005
517,GOA,73.9586029,15.3059998
518,KARNATAKA,75.6458969,15.4425001
519,KARNATAKA,76.1669006,15.3641005
520,TAMILNADU,79.9138031,13.1549997
521,KARNATAKA,74.7584,13.3607998
522,BIHAR,85.1169968,25.6035004
523,HARYANA,76.6524963,28.6014004
524,UTTAR PRADESH,77.2254028,28.9349003
525,HARYANA,76.9673996,29.3878994
526,UTTAR PRADESH,79.5179977,26.4603004
527,UTTAR PRADESH,81.9300995,27.7007008
528,UTTAR PRADESH,82.1940994,27.4246006
529,UTTAR PRADESH,83.5658035,27.1471004
530,ARUNACHAL PRADESH,95.7953033,28.1378002
531,ARUNACHAL PRADESH,96.7865982,27.8945999
532,ARUNACHAL PRADESH,93.4963989,27.8616009
533,TELANGANA,78.4869003,17.4006004
534,JAMMU AND KASHMIR,75.5154037,32.3591003
535,KARNATAKA,75.406601,14.8113003
536,KARNATAKA,75.9354019,14.4940996
537,TAMILNADU,79.072998,12.2347002
538,KARNATAKA,76.9381027,11.9378004
539,TAMILNADU,78.1706009,11.2271996
540,TAMILNADU,78.0856018,10.9503002
541,TAMILNADU,79.4859009,11.9383001
542,TAMILNADU,78.865097,11.2445002
543,TAMILNADU,79.0726013,11.1462002
544,TAMILNADU,77.4632034,10.0010004
545,TAMILNADU,77.9676971,10.3633003
546,ARUNACHAL PRADESH,95.0626984,28.6135998
547,ARUNACHAL PRADESH,95.7276993,27.0881996
548,ASSAM,95.3666,27.4925003
549,ASSAM,94.5915985,27.4848003
550,ARUNACHAL PRADESH,93.8090973,27.5559006
601,CHHATTISGARH,82.8658981,23.2138004
602, ,85.2790985,23.0755997
603,CHHATTISGARH,81.6845016,22.0664005
604,CHHATTISGARH,81.5344009,21.7150993
605,CHHATTISGARH,82.1613998,21.6569996
606, ,77.3062973,29.448
607, ,74.0251007,30.4046001
608, ,75.5453033,30.3715992
609, ,74.9279022,31.4521008
610, ,77.7782974,28.7287998
611, ,78.6464996,27.8099003
612, ,76.0122986,23.7320995
613, ,74.7658005,24.0123997
614, ,70.8091965,22.8017998
615, ,71.6884003,22.1839008
616, ,74.0198975,22.3181992
617, ,72.7690964,19.6872997
618, ,68.9667969,22.2385998
619, ,85.5254974,23.6700993
620,CHHATTISGARH,83.6233978,23.6327
621,CHHATTISGARH,82.0625,20.6334991
622,CHHATTISGARH,81.2064972,20.7336006
623,CHHATTISGARH,81.2463989,19.718399
624,CHHATTISGARH,80.8175964,18.7957001
625,CHHATTISGARH,81.6535034,18.3771
626,CHHATTISGARH,81.6617966,19.5879993
627, ,0,0
628,KARNATAKA,77.2827988,12.7213001
629,TAMILNADU,77.3671036,11.1086998
630, ,78.2145996,12.5274
631, ,92.8992004,22.5319004
632, ,93.9356995,24.8036003
633, ,93.7368011,25.5401001
634, ,93.7205963,25.9111996
635, ,94.7845001,25.8908005
636,ASSAM,92.0962982,26.7436008
224,CHHATTISGARH,83.2054977,23.1194992
225,CHHATTISGARH,83.3939972,21.9095993
226,ODISHA,83.9841003,21.4673004
227,ODISHA,83.4942017,20.7061005
228,BIHAR,84.5082016,26.8043003
229,BIHAR,84.9229965,26.6539001
230,BIHAR,84.4421997,26.4655991
231,BIHAR,84.3593979,26.2215996
232,UTTAR PRADESH,84.1537018,25.7607994
233,BIHAR,84.7492981,25.7775993
234,BIHAR,84.6751022,25.5657997
235,BIHAR,84.9798965,25.2126007
236,BIHAR,84.0376968,24.9213009
237,BIHAR,84.3771973,24.7502003
238,JHARKHAND,84.0672989,24.0407009
239,BIHAR,85.4944992,26.5942001
240,BIHAR,85.9083023,26.1646004
241,BIHAR,85.4047012,26.1177006
242,BIHAR,85.5192032,25.1952
243,BIHAR,85.5410004,24.8883991
244,BIHAR,85.0022964,24.7919006
245,BIHAR,86.0681,26.3568993
246,BIHAR,86.7901993,25.9214993
247,BIHAR,86.5964966,25.8726006
248,BIHAR,86.4703979,25.5091
249,BIHAR,86.1334991,25.4099007
250,BIHAR,86.4744034,25.3743992
251,BIHAR,86.9720993,25.2397003
252,JHARKHAND,86.6983032,24.4817009
253,JHARKHAND,86.310997,24.1905003
254,BIHAR,87.4682007,25.7775993
255,BIHAR,87.5810013,25.5377998
256,JHARKHAND,87.6305008,25.2450008
257,JHARKHAND,87.213501,24.8295002
258,JHARKHAND,87.2470016,24.2714996
259,JHARKHAND,84.6794968,23.4330006
260,JHARKHAND,84.5323029,23.0272007
261,ODISHA,84.0465012,22.1287994
262,ODISHA,84.2386017,20.468399
263,JHARKHAND,85.364502,23.9890995
264,JHARKHAND,85.3382034,23.3635998
265,ODISHA,85.5812988,21.6455994
266,ODISHA,85.5858994,20.6555004
267,ODISHA,85.8516998,20.4789009
268,ODISHA,85.6200027,20.1886005
269,JHARKHAND,86.4338989,23.7982998
270,WEST BENGAL,86.3644028,23.3327999
271,JHARKHAND,86.1950989,22.8001003
272,ODISHA,86.7235031,21.9456005
273,ODISHA,86.9204025,21.4930992
274,WEST BENGAL,87.5317993,23.9092999
275,WEST BENGAL,87.0590973,23.2504997
276,WEST BENGAL,87.8544006,23.2628994
277,WEST BENGAL,87.3215027,22.4290009
278,ODISHA,84.983902,19.3512993
279,ODISHA,85.8366013,19.7963009
280,SIKKIM,88.6138,27.3292007
281,WEST BENGAL,88.2702026,27.0417995
282,WEST BENGAL,88.7164001,26.5282001
283,WEST BENGAL,88.7871017,25.2304993
284,WEST BENGAL,88.1451035,25.0107002
285,WEST BENGAL,88.2762985,24.1009998
286,WEST BENGAL,89.4508972,26.3286991
287,ASSAM,90.2710037,26.4032001
288,ASSAM,90.6283035,26.1769009
289,MEGHALAYA,90.5910034,25.5287991
290,MEGHALAYA,90.2779999,25.5056992
0,ARUNACHAL PRADESH,94.3287964,28.6525002
0,ARUNACHAL PRADESH,94.7014008,27.9815998
0,ARUNACHAL PRADESH,95.825798,27.6972008
0,ARUNACHAL PRADESH,93.5968018,27.7542
0,ARUNACHAL PRADESH,93.8936005,27.8778992
0,ARUNACHAL PRADESH,95.322197,26.8932991
0,ARUNACHAL PRADESH,94.9539032,28.3267002
0,HARYANA,77.0025024,28.1025009
0,CHHATTISGARH,81.9140015,22.7464008
0,JAMMU AND KASHMIR,74.3096008,33.3765984
0,JAMMU AND KASHMIR,75.5460968,33.1439018
0,JAMMU AND KASHMIR,75.1224976,32.5606995
0,JAMMU AND KASHMIR,75.2386017,33.2429008
0,JAMMU AND KASHMIR,74.8358994,33.7168999
0,JAMMU AND KASHMIR,75.0186996,33.6446991
0,JAMMU AND KASHMIR,74.9012985,33.8740997
0,JAMMU AND KASHMIR,74.7210007,34.0163002
0,JAMMU AND KASHMIR,74.6386032,34.4193001
0,JAMMU AND KASHMIR,74.2624969,34.5293007
0,JAMMU AND KASHMIR,74.7748032,34.2266006
